TYPE,Booking Number,Load ID,Reference Number,Customer,Customer Email,Container Number,Warehouse,Address,Delivery Need Date,Status,Driver Name,Truck Assigned,Chassis,Port,LFD,Dispatcher Notes,Billing Notes,Rate,Public Notes
Import,IMP-0615-017,IMP-0017,REF-00017,Lone Star Retail,dispatch+sample17@calitrans.test,CAIU5553017,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-16,At Pickup,,,CH-2001,Bayport Terminal,2026-06-19,Sample Import load for 2026-06-16 - status test: At Pickup.,,850,Customer update testing only
Export,EXP-0615-018,EXP-0018,REF-00018,Texas Resin Group,dispatch+sample18@calitrans.test,TGHU5553018,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-16,Loaded,Maria Sanchez,CT-108,CH-2002,Port Houston Gate 3,2026-06-19,Sample Export load for 2026-06-16 - status test: Loaded.,,650,Customer update testing only
Export Local,EXL-0615-019,EXL-0019,REF-00019,Baytown Distribution,dispatch+sample19@calitrans.test,MSCU5553019,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-16,En Route To Delivery,David Nguyen,CT-109,CH-2003,Jacintoport,2026-06-19,Sample Export Local load for 2026-06-16 - status test: En Route To Delivery.,,675,Customer update testing only
Import Local,IML-0615-020,IML-0020,REF-00020,Katy Crossdock Services,dispatch+sample20@calitrans.test,MAEU5553020,Pearland DC,"2100 Main St, Pearland, TX",2026-06-16,Delivered,Unassigned,,CH-2004,Ceres Terminal,2026-06-19,Sample Import Local load for 2026-06-16 - status test: Delivered.,,700,Customer update testing only
Import,IMP-0615-021,IMP-0021,REF-00021,Houston Industrial Supply,dispatch+sample21@calitrans.test,HLCU5553021,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-16,Returning Empty,Victor Reza,CT-101,CH-2005,Barbours Cut,2026-06-15,Sample Import load for 2026-06-16 - status test: Returning Empty.,,725,Customer update testing only
Export,EXP-0615-022,EXP-0022,REF-00022,Andes Coffee Trading,dispatch+sample22@calitrans.test,ONEU5553022,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-16,New,Miguel Torres,CT-102,CH-2006,Bayport Terminal,2026-06-16,Sample Export load for 2026-06-16 - status test: New.,,750,Customer update testing only
Export Local,EXL-0615-023,EXL-0023,REF-00023,Panama Auto Parts,dispatch+sample23@calitrans.test,CAIU5553023,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-16,Hold/Need Info,Carlos Ramirez,CT-103,,Port Houston Gate 3,2026-06-17,Sample Export Local load for 2026-06-16 - status test: Hold/Need Info.,,775,Customer update testing only
Import Local,IML-0615-024,IML-0024,REF-00024,Colombia Fresh Imports,dispatch+sample24@calitrans.test,TGHU5553024,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-16,Awaiting Appointment,Juan Martinez,CT-104,CH-2008,Jacintoport,2026-06-14,Sample Import Local load for 2026-06-16 - status test: Awaiting Appointment.,,800,Customer update testing only
Import,IMP-0615-025,IMP-0025,REF-00025,Bogota Textiles LLC,dispatch+sample25@calitrans.test,MSCU5553025,Pearland DC,"2100 Main St, Pearland, TX",2026-06-16,POD Received,Luis Garcia,CT-105,CH-2001,Ceres Terminal,,Sample Import load for 2026-06-16 - status test: POD Received.,Sample billing note,825,Customer update testing only
Export,EXP-0615-026,EXP-0026,REF-00026,Gulf Coast Foods,dispatch+sample26@calitrans.test,MAEU5553026,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-16,Ready for ProfitTools,Ana Lopez,CT-106,CH-2002,Barbours Cut,2026-06-19,Sample Export load for 2026-06-16 - status test: Ready for ProfitTools.,Sample billing note,850,Customer update testing only
Export Local,EXL-0615-027,EXL-0027,REF-00027,Lone Star Retail,dispatch+sample27@calitrans.test,HLCU5553027,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-16,Ready to Dispatch,Jose Hernandez,CT-107,CH-2003,Bayport Terminal,2026-06-19,Sample Export Local load for 2026-06-16 - status test: Ready to Dispatch.,,650,Customer update testing only
Import Local,IML-0615-028,IML-0028,REF-00028,Texas Resin Group,dispatch+sample28@calitrans.test,,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-16,Assigned,Maria Sanchez,CT-108,CH-2004,Port Houston Gate 3,2026-06-19,Sample Import Local load for 2026-06-16 - status test: Assigned.,,675,Customer update testing only
Import,IMP-0615-029,IMP-0029,REF-00029,Baytown Distribution,dispatch+sample29@calitrans.test,CAIU5553029,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-16,En Route to Pickup,David Nguyen,CT-109,CH-2005,Jacintoport,2026-06-19,Sample Import load for 2026-06-16 - status test: En Route to Pickup.,,700,Customer update testing only
Export,EXP-0615-030,EXP-0030,REF-00030,Katy Crossdock Services,dispatch+sample30@calitrans.test,TGHU5553030,Pearland DC,"2100 Main St, Pearland, TX",2026-06-16,At Pickup,Unassigned,,CH-2006,Ceres Terminal,2026-06-19,Sample Export load for 2026-06-16 - status test: At Pickup.,,725,Customer update testing only
Export Local,EXL-0615-031,EXL-0031,REF-00031,Houston Industrial Supply,dispatch+sample31@calitrans.test,MSCU5553031,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-16,Loaded,Victor Reza,CT-101,,Barbours Cut,2026-06-16,Sample Export Local load for 2026-06-16 - status test: Loaded.,,750,Customer update testing only
Import Local,IML-0615-032,IML-0032,REF-00032,Andes Coffee Trading,dispatch+sample32@calitrans.test,MAEU5553032,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-16,En Route To Delivery,Miguel Torres,CT-102,CH-2008,Bayport Terminal,2026-06-17,Sample Import Local load for 2026-06-16 - status test: En Route To Delivery.,,775,Customer update testing only
Import,IMP-0615-033,IMP-0033,REF-00033,Panama Auto Parts,dispatch+sample33@calitrans.test,HLCU5553033,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-17,Delivered,Carlos Ramirez,CT-103,CH-2001,Port Houston Gate 3,2026-06-15,Sample Import load for 2026-06-17 - status test: Delivered.,,800,Customer update testing only
Export,EXP-0615-034,EXP-0034,REF-00034,Colombia Fresh Imports,dispatch+sample34@calitrans.test,ONEU5553034,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-18,Returning Empty,,,CH-2002,Jacintoport,2026-06-14,Sample Export load for 2026-06-18 - status test: Returning Empty.,,825,Customer update testing only
Export Local,EXL-0615-035,EXL-0035,REF-00035,Bogota Textiles LLC,dispatch+sample35@calitrans.test,CAIU5553035,Pearland DC,"2100 Main St, Pearland, TX",2026-06-19,New,Luis Garcia,CT-105,CH-2003,Ceres Terminal,,Sample Export Local load for 2026-06-19 - status test: New.,,850,Customer update testing only
Import Local,IML-0615-036,IML-0036,REF-00036,Gulf Coast Foods,dispatch+sample36@calitrans.test,TGHU5553036,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-20,Hold/Need Info,Ana Lopez,CT-106,CH-2004,Barbours Cut,2026-06-23,Sample Import Local load for 2026-06-20 - status test: Hold/Need Info.,,650,Customer update testing only
Import,IMP-0615-037,IMP-0037,REF-00037,Lone Star Retail,dispatch+sample37@calitrans.test,MSCU5553037,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-21,Awaiting Appointment,Jose Hernandez,CT-107,CH-2005,Bayport Terminal,2026-06-24,Sample Import load for 2026-06-21 - status test: Awaiting Appointment.,,675,Customer update testing only
Export,EXP-0615-038,EXP-0038,REF-00038,Texas Resin Group,dispatch+sample38@calitrans.test,MAEU5553038,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-22,POD Received,Maria Sanchez,CT-108,CH-2006,Port Houston Gate 3,2026-06-25,Sample Export load for 2026-06-22 - status test: POD Received.,Sample billing note,700,Customer update testing only
Export Local,EXL-0615-039,EXL-0039,REF-00039,Baytown Distribution,dispatch+sample39@calitrans.test,HLCU5553039,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-23,Ready for ProfitTools,David Nguyen,CT-109,,Jacintoport,2026-06-26,Sample Export Local load for 2026-06-23 - status test: Ready for ProfitTools.,Sample billing note,725,Customer update testing only
Import Local,IML-0615-040,IML-0040,REF-00040,Katy Crossdock Services,dispatch+sample40@calitrans.test,ONEU5553040,Pearland DC,"2100 Main St, Pearland, TX",2026-06-24,Ready to Dispatch,Unassigned,,CH-2008,Ceres Terminal,2026-06-27,Sample Import Local load for 2026-06-24 - status test: Ready to Dispatch.,,750,Customer update testing only
Import,IMP-0615-041,IMP-0041,REF-00041,Houston Industrial Supply,dispatch+sample41@calitrans.test,CAIU5553041,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-25,Assigned,Victor Reza,CT-101,CH-2001,Barbours Cut,2026-06-17,Sample Import load for 2026-06-25 - status test: Assigned.,,775,Customer update testing only
Export,EXP-0615-042,EXP-0042,REF-00042,Andes Coffee Trading,dispatch+sample42@calitrans.test,,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-26,En Route to Pickup,Miguel Torres,CT-102,CH-2002,Bayport Terminal,2026-06-15,Sample Export load for 2026-06-26 - status test: En Route to Pickup.,,800,Customer update testing only
Export Local,EXL-0615-043,EXL-0043,REF-00043,Panama Auto Parts,dispatch+sample43@calitrans.test,MSCU5553043,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-27,At Pickup,Carlos Ramirez,CT-103,CH-2003,Port Houston Gate 3,2026-06-16,Sample Export Local load for 2026-06-27 - status test: At Pickup.,,825,Customer update testing only
Import Local,IML-0615-044,IML-0044,REF-00044,Colombia Fresh Imports,dispatch+sample44@calitrans.test,MAEU5553044,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-28,Loaded,Juan Martinez,CT-104,CH-2004,Jacintoport,2026-06-14,Sample Import Local load for 2026-06-28 - status test: Loaded.,,850,Customer update testing only
Import,IMP-0615-045,IMP-0045,REF-00045,Bogota Textiles LLC,dispatch+sample45@calitrans.test,HLCU5553045,Pearland DC,"2100 Main St, Pearland, TX",2026-06-17,En Route To Delivery,Luis Garcia,CT-105,CH-2005,Ceres Terminal,,Sample Import load for 2026-06-17 - status test: En Route To Delivery.,,650,Customer update testing only
Export,EXP-0615-046,EXP-0046,REF-00046,Gulf Coast Foods,dispatch+sample46@calitrans.test,ONEU5553046,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-18,Delivered,Ana Lopez,CT-106,CH-2006,Barbours Cut,2026-06-21,Sample Export load for 2026-06-18 - status test: Delivered.,,675,Customer update testing only
Export Local,EXL-0615-047,EXL-0047,REF-00047,Lone Star Retail,dispatch+sample47@calitrans.test,CAIU5553047,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-19,Returning Empty,Jose Hernandez,CT-107,,Bayport Terminal,2026-06-22,Sample Export Local load for 2026-06-19 - status test: Returning Empty.,,700,Customer update testing only
Import Local,IML-0615-048,IML-0048,REF-00048,Texas Resin Group,dispatch+sample48@calitrans.test,TGHU5553048,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-20,New,Maria Sanchez,CT-108,CH-2008,Port Houston Gate 3,2026-06-23,Sample Import Local load for 2026-06-20 - status test: New.,,725,Customer update testing only
Import,IMP-0615-049,IMP-0049,REF-00049,Baytown Distribution,dispatch+sample49@calitrans.test,MSCU5553049,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-21,Hold/Need Info,David Nguyen,CT-109,CH-2001,Jacintoport,2026-06-24,Sample Import load for 2026-06-21 - status test: Hold/Need Info.,,750,Customer update testing only
Export,EXP-0615-050,EXP-0050,REF-00050,Katy Crossdock Services,dispatch+sample50@calitrans.test,MAEU5553050,Pearland DC,"2100 Main St, Pearland, TX",2026-06-22,Awaiting Appointment,Unassigned,,CH-2002,Ceres Terminal,2026-06-25,Sample Export load for 2026-06-22 - status test: Awaiting Appointment.,,775,Customer update testing only
Export Local,EXL-0615-051,EXL-0051,REF-00051,Houston Industrial Supply,dispatch+sample51@calitrans.test,HLCU5553051,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-23,POD Received,,,CH-2003,Barbours Cut,2026-06-15,Sample Export Local load for 2026-06-23 - status test: POD Received.,Sample billing note,800,Customer update testing only
Import Local,IML-0615-052,IML-0052,REF-00052,Andes Coffee Trading,dispatch+sample52@calitrans.test,ONEU5553052,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-24,Ready for ProfitTools,Miguel Torres,CT-102,CH-2004,Bayport Terminal,2026-06-16,Sample Import Local load for 2026-06-24 - status test: Ready for ProfitTools.,Sample billing note,825,Customer update testing only
Import,IMP-0615-053,IMP-0053,REF-00053,Panama Auto Parts,dispatch+sample53@calitrans.test,CAIU5553053,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-25,Ready to Dispatch,Carlos Ramirez,CT-103,CH-2005,Port Houston Gate 3,2026-06-17,Sample Import load for 2026-06-25 - status test: Ready to Dispatch.,,850,Customer update testing only
Export,EXP-0615-054,EXP-0054,REF-00054,Colombia Fresh Imports,dispatch+sample54@calitrans.test,TGHU5553054,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-26,Assigned,Juan Martinez,CT-104,CH-2006,Jacintoport,2026-06-14,Sample Export load for 2026-06-26 - status test: Assigned.,,650,Customer update testing only
Export Local,EXL-0615-055,EXL-0055,REF-00055,Bogota Textiles LLC,dispatch+sample55@calitrans.test,MSCU5553055,Pearland DC,"2100 Main St, Pearland, TX",2026-06-27,En Route to Pickup,Luis Garcia,CT-105,,Ceres Terminal,,Sample Export Local load for 2026-06-27 - status test: En Route to Pickup.,,675,Customer update testing only
Import Local,IML-0615-056,IML-0056,REF-00056,Gulf Coast Foods,dispatch+sample56@calitrans.test,,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-28,At Pickup,Ana Lopez,CT-106,CH-2008,Barbours Cut,2026-07-01,Sample Import Local load for 2026-06-28 - status test: At Pickup.,,700,Customer update testing only
Import,IMP-0615-057,IMP-0057,REF-00057,Lone Star Retail,dispatch+sample57@calitrans.test,HLCU5553057,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-17,Loaded,Jose Hernandez,CT-107,CH-2001,Bayport Terminal,2026-06-20,Sample Import load for 2026-06-17 - status test: Loaded.,,725,Customer update testing only
Export,EXP-0615-058,EXP-0058,REF-00058,Texas Resin Group,dispatch+sample58@calitrans.test,ONEU5553058,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-18,En Route To Delivery,Maria Sanchez,CT-108,CH-2002,Port Houston Gate 3,2026-06-21,Sample Export load for 2026-06-18 - status test: En Route To Delivery.,,750,Customer update testing only
Export Local,EXL-0615-059,EXL-0059,REF-00059,Baytown Distribution,dispatch+sample59@calitrans.test,CAIU5553059,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-19,Delivered,David Nguyen,CT-109,CH-2003,Jacintoport,2026-06-22,Sample Export Local load for 2026-06-19 - status test: Delivered.,,775,Customer update testing only
Import Local,IML-0615-060,IML-0060,REF-00060,Katy Crossdock Services,dispatch+sample60@calitrans.test,TGHU5553060,Pearland DC,"2100 Main St, Pearland, TX",2026-06-20,Returning Empty,Unassigned,,CH-2004,Ceres Terminal,2026-06-23,Sample Import Local load for 2026-06-20 - status test: Returning Empty.,,800,Customer update testing only
